,ProjectID,ProjectTitle,ProjectDescription,TotalCost,CountyNames,CT_Codes,ProjectStatusCodes,City,CityCode,County,CountyCode,Lon_Centroid,Lat_Centroid
0,'0422000487,Project in Contra Costa Transportation Authority,"Project in Contra Costa Transportation Authority, part of the Surface Transportation Block Grant. (Federal Project ID: 6072032).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
1,'0420000062,Facilities for Pedestrians and Bicycles in Contra Costa Transportation Authority,"Facilities for Pedestrians and Bicycles in Contra Costa Transportation Authority, part of the Surface Transportation Block Grant. (Federal Project ID: 6072028).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
2,'5928045,Replace Bridge in Contra Costa County,"Replace Bridge in Contra Costa County, part of the Surface Transportation Block Grant. (Federal Project ID: 5928045).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
3,'0419000488,Bridge Rehabilitation in Contra Costa County,"Bridge Rehabilitation in Contra Costa County, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5928154).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
4,'0418000419,New Construction Roadway in Contra Costa County,"New Construction Roadway in Contra Costa County, part of the Emergency Relieve Funding. (Federal Project ID: 32L0517).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
5,'0417000365,Construct Roundabout in Contra Costa County,"Construct Roundabout in Contra Costa County, part of the Highway Safety Improvement Program (HSIP). (Federal Project ID: 5928140).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
6,'0416000343,Bridge Replacement in Contra Costa County,"Bridge Replacement in Contra Costa County, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5928128).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
7,'0415000112,Bridge Replacement in Contra Costa County,"Bridge Replacement in Contra Costa County, part of the Bridge Formula Program. (Federal Project ID: 5928125).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
8,'0421000076,Bridge Rehabilitation in Oakley,"Bridge Rehabilitation in Oakley, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5477009).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
9,'0419000097,Seismic Retrofit in Orinda,"Seismic Retrofit in Orinda, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5444019).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
